learning_rate,batch_size,dropout,num_epochs,f1,roc_auc,accuracy,epochs_trained,time_sec
0.0005,32,0.4,25,0.818627057406664,0.9303571428571428,0.82,9,106.5
0.0005,16,0.3,15,0.8181420081326243,0.8998214285714287,0.82,8,101.5
0.0005,64,0.5,20,0.8181420081326243,0.9276785714285714,0.82,15,179.2
0.0005,16,0.3,20,0.8181420081326243,0.9401785714285714,0.82,14,169.9
0.0001,16,0.4,20,0.8175898974519725,0.9421428571428572,0.82,9,113.1
5e-05,64,0.3,15,0.8175898974519725,0.9326785714285715,0.82,13,143.0
0.0001,16,0.3,20,0.8169696969696969,0.925,0.82,11,134.6
0.0005,16,0.5,25,0.8169696969696969,0.91625,0.82,12,140.0
0.0005,16,0.5,15,0.8162802215118635,0.9166071428571428,0.82,7,84.9
0.001,64,0.5,10,0.8162802215118635,0.9560714285714286,0.82,10,116.8
0.0005,64,0.5,15,0.8162802215118635,0.8933928571428572,0.82,15,169.8
0.0005,64,0.3,15,0.8162802215118635,0.9282142857142858,0.82,15,169.5
0.0005,16,0.3,25,0.8111290033995348,0.91625,0.8133333333333334,19,235.5
5e-05,16,0.3,25,0.8111290033995348,0.9357142857142857,0.8133333333333334,7,78.0
0.001,32,0.4,25,0.810521281683405,0.9101785714285714,0.8133333333333334,15,178.6
0.001,64,0.2,20,0.810521281683405,0.9169642857142858,0.8133333333333334,20,231.4
0.001,16,0.2,25,0.8098423544925972,0.9216071428571428,0.8133333333333334,9,104.3
5e-05,64,0.4,20,0.8098423544925972,0.9251785714285714,0.8133333333333334,20,222.0
5e-05,16,0.2,25,0.8098423544925972,0.905,0.8133333333333334,10,108.6
0.0001,32,0.4,10,0.8098423544925972,0.9501785714285714,0.8133333333333334,10,121.7
0.0001,16,0.3,25,0.8098423544925972,0.9498214285714286,0.8133333333333334,10,125.9
0.0001,64,0.5,20,0.8090909090909092,0.9176785714285715,0.8133333333333334,15,190.0
0.001,16,0.2,10,0.805641916469942,0.9451785714285714,0.8066666666666666,9,107.1
5e-05,16,0.3,10,0.8046710457720779,0.8691071428571429,0.8066666666666666,10,107.0
5e-05,16,0.4,25,0.8046710457720779,0.905892857142857,0.8066666666666666,13,147.3
0.0001,16,0.4,10,0.8046710457720779,0.9183928571428571,0.8066666666666666,10,118.3
0.0001,16,0.2,20,0.8040780380039706,0.9130357142857143,0.8066666666666666,12,144.0
0.0001,32,0.3,15,0.8040780380039706,0.8905357142857144,0.8066666666666666,11,135.4
0.001,64,0.5,25,0.8034118967452301,0.9317857142857142,0.8066666666666666,23,259.7
5e-05,16,0.5,15,0.8034118967452301,0.9185714285714286,0.8066666666666666,14,161.4
0.0001,64,0.2,20,0.8026713490312608,0.9232142857142858,0.8066666666666666,12,143.6
5e-05,64,0.4,25,0.8026713490312608,0.9141071428571429,0.8066666666666666,20,219.6
0.001,64,0.5,15,0.8026713490312608,0.9255357142857142,0.8066666666666666,15,174.1
0.0005,16,0.4,25,0.8026713490312608,0.9096428571428571,0.8066666666666666,8,96.7
5e-05,32,0.2,15,0.8018549467756748,0.9207142857142857,0.8066666666666666,15,162.8
5e-05,32,0.3,25,0.8018549467756748,0.9426785714285714,0.8066666666666666,13,141.8
5e-05,16,0.4,15,0.8018549467756748,0.9175,0.8066666666666666,10,111.7
0.001,32,0.3,15,0.8018549467756748,0.9375,0.8066666666666666,14,162.7
5e-05,64,0.5,25,0.7982142857142858,0.9194642857142856,0.8,18,197.3
0.0005,32,0.5,20,0.7969870875179339,0.9612499999999999,0.8,12,138.3
5e-05,64,0.2,25,0.7969870875179339,0.9076785714285714,0.8,21,232.2
5e-05,32,0.5,25,0.7962596655277827,0.9474999999999999,0.8,15,168.8
0.0001,64,0.4,15,0.7962596655277827,0.8816071428571428,0.8,13,164.0
0.0001,128,0.5,25,0.7962596655277827,0.8883928571428571,0.8,25,310.1
0.0001,16,0.2,15,0.7954545454545454,0.9267857142857143,0.8,13,153.9
5e-05,16,0.4,10,0.7954545454545454,0.9160714285714286,0.8,10,109.1
0.0005,128,0.3,15,0.7954545454545454,0.8878571428571429,0.8,15,166.5
0.0001,32,0.5,15,0.7945701357466063,0.9117857142857143,0.8,15,186.4
5e-05,16,0.2,10,0.7945701357466063,0.9132142857142856,0.8,10,115.5
0.001,32,0.2,15,0.7945701357466063,0.9158928571428571,0.8,15,172.1
5e-05,32,0.3,10,0.7945701357466063,0.8958928571428572,0.8,10,107.7
0.0005,64,0.4,10,0.7945701357466063,0.9039285714285714,0.8,10,111.4
0.0001,64,0.5,25,0.7929749677648837,0.8769642857142858,0.7933333333333333,20,245.1
5e-05,32,0.5,10,0.7898540965207633,0.9092857142857144,0.7933333333333333,10,113.8
0.0001,64,0.3,20,0.789062476550658,0.9057142857142857,0.7933333333333333,18,221.9
0.0001,16,0.5,25,0.7881897706912387,0.9371428571428572,0.7933333333333333,23,303.7
5e-05,64,0.5,15,0.7881897706912387,0.9385714285714285,0.7933333333333333,14,154.8
0.0005,128,0.5,20,0.7872342354594497,0.9803571428571428,0.7933333333333333,20,221.2
0.001,16,0.3,10,0.7852974386402806,0.88375,0.7866666666666666,10,118.1
0.0005,16,0.2,25,0.7826769765629683,0.9101785714285714,0.7866666666666666,11,134.6
5e-05,64,0.5,20,0.7826769765629683,0.9241071428571429,0.7866666666666666,20,222.5
5e-05,128,0.4,25,0.7808748114630468,0.8551785714285715,0.7866666666666666,17,191.5
0.0005,64,0.2,10,0.7808748114630468,0.94125,0.7866666666666666,10,111.1
0.0001,64,0.4,10,0.7798449612403101,0.9407142857142858,0.7866666666666666,10,124.6
0.0001,16,0.3,10,0.7798449612403101,0.9385714285714286,0.7866666666666666,8,98.9
0.0005,64,0.2,25,0.7798449612403101,0.9257142857142857,0.7866666666666666,17,196.9
5e-05,16,0.4,20,0.7788339049485546,0.8983928571428572,0.78,7,77.1
0.0001,16,0.5,15,0.7777291210509854,0.8785714285714287,0.78,15,188.4
0.001,64,0.4,20,0.7770543191079665,0.9167857142857143,0.78,15,173.1
5e-05,32,0.3,15,0.7762962962962963,0.8978571428571429,0.78,15,170.3
0.0001,64,0.2,10,0.7762962962962963,0.8878571428571429,0.78,10,122.2
0.001,16,0.5,25,0.7745245946068025,0.9442857142857143,0.78,8,97.1
0.0001,32,0.5,20,0.7745245946068025,0.9033928571428571,0.78,11,138.7
0.001,32,0.5,25,0.7735074119407045,0.9260714285714285,0.78,11,124.9
0.001,16,0.4,10,0.7723999817941832,0.9380357142857143,0.78,9,105.2
0.0001,16,0.5,10,0.7723999817941832,0.9257142857142858,0.78,10,126.5
0.0001,64,0.3,15,0.7723550920098303,0.9126785714285715,0.7733333333333333,9,108.0
0.0001,64,0.5,15,0.7706566469851495,0.9132142857142856,0.7733333333333333,11,137.5
5e-05,16,0.5,20,0.7681818181818181,0.9019642857142858,0.7733333333333333,20,224.9
0.0001,64,0.4,20,0.7681818181818181,0.8757142857142857,0.7733333333333333,20,255.4
0.001,32,0.4,15,0.7660852713178294,0.9360714285714286,0.7733333333333333,15,179.5
5e-05,64,0.2,20,0.7660852713178294,0.9171428571428571,0.7733333333333333,17,186.0
5e-05,16,0.5,10,0.7660852713178294,0.9317857142857143,0.7733333333333333,10,114.4
0.0001,32,0.5,10,0.7648969166210545,0.9307142857142857,0.7733333333333333,10,120.7
0.0005,16,0.4,20,0.7618447315894528,0.9210714285714287,0.7666666666666667,11,138.9
0.0001,64,0.3,10,0.7608594185223663,0.8655357142857142,0.7666666666666667,10,121.6
0.0001,32,0.3,25,0.7597805884219593,0.8844642857142857,0.7666666666666667,11,137.1
5e-05,32,0.4,10,0.7597805884219593,0.9201785714285715,0.7666666666666667,10,107.4
5e-05,32,0.4,15,0.7597805884219593,0.9142857142857144,0.7666666666666667,11,120.0
0.0005,64,0.3,10,0.758606041296861,0.8639285714285714,0.7666666666666667,10,113.4
0.0005,32,0.3,10,0.758606041296861,0.9151785714285714,0.7666666666666667,10,126.4
5e-05,64,0.3,25,0.7584596184703156,0.890892857142857,0.76,11,122.2
5e-05,64,0.2,10,0.7573333333333333,0.8948214285714285,0.7666666666666667,10,113.2
0.0001,32,0.2,10,0.7573333333333333,0.9439285714285715,0.7666666666666667,10,128.4
0.0005,16,0.4,10,0.7573333333333333,0.8648214285714286,0.7666666666666667,9,112.7
0.001,32,0.3,25,0.7573333333333333,0.9041071428571429,0.7666666666666667,13,150.6
0.0005,64,0.3,25,0.7523255813953489,0.8367857142857142,0.76,12,140.6
0.0005,16,0.3,10,0.7510673234811166,0.8742857142857142,0.76,10,122.7
0.001,16,0.3,20,0.7510673234811166,0.9194642857142857,0.76,9,105.4
5e-05,32,0.2,10,0.7510673234811166,0.8844642857142857,0.76,10,106.9
0.0001,16,0.2,10,0.7497067448680352,0.90125,0.76,10,115.0
0.001,128,0.4,20,0.7497067448680352,0.9364285714285715,0.76,20,219.8
0.0001,32,0.3,10,0.7497067448680352,0.9157142857142858,0.76,10,123.2
0.0001,16,0.4,15,0.7420146065867438,0.8846428571428571,0.7533333333333333,13,156.8
