scenario,feature,feature_group,healthy_n_patients,parkinson_n_patients,healthy_mean,healthy_std,healthy_median,healthy_q1,healthy_q3,parkinson_mean,parkinson_std,parkinson_median,parkinson_q1,parkinson_q3,mean_difference_pd_minus_healthy,median_difference_pd_minus_healthy,cohens_d,abs_cohens_d,p_value_mannwhitney,q_value_bh
combined_all,mfcc_12_min,MFCC,120,75,-23.929854157996868,16.25853796157623,-27.769661903381344,-35.19292449951172,-8.973026752471924,-19.485203748162373,17.560424990149905,-17.50191789617141,-32.99296855926514,-3.936609625816345,4.4446504098344946,10.267744007209934,0.2650412034221788,0.2650412034221788,0.05121676494160703,0.3082151747378852
combined_all,mfcc_delta2_08_median,Delta-Delta MFCC,120,75,0.0034255790832961124,0.05424440703082634,-0.0087490975856781,-0.0351585731405066,0.01630715479222992,0.013846978506570077,0.055315051849498476,0.0028852745890617,-0.0197153743356466,0.03653983585536475,0.010421399423273964,0.011634372174739801,0.1906677023553996,0.1906677023553996,0.04998503201780269,0.3082151747378852
combined_all,mfcc_delta_04_median,Delta MFCC,120,75,0.014276073929323863,0.15311536227484188,0.01975476785264618,-0.04329358410905113,0.09443401708267628,-0.010424356955468561,0.20641088539331245,-0.0149426460266113,-0.0563551392406225,0.034150542231903544,-0.024700430884792422,-0.03469741387925748,-0.14076416959366778,0.14076416959366778,0.0505977583440588,0.3082151747378852
combined_all,spectral_contrast_06_std,Spectral Contrast,120,75,3.78390613893053,1.177404911196239,3.5332611493838897,2.9856415748388128,4.364708019088491,4.292839711581894,1.588930694933038,4.07515006765916,3.049636536593627,4.970444533691625,0.5089335726513635,0.5418889182752702,0.37695945833759686,0.37695945833759686,0.05343343008700368,0.3141992671821393
combined_all,chroma_05_median,Chroma,120,75,0.5557677748232346,0.19046922421928913,0.6166284879048665,0.42266533203655854,0.6733315289020538,0.4946385064869356,0.24042344927458076,0.4954929947853088,0.2737661227583885,0.6653620600700378,-0.061129268336299,-0.12113549311955768,-0.28967769116982733,0.28967769116982733,0.054075838268736146,0.3141992671821393
combined_all,zcr_std,Energy / ZCR,120,75,0.05594316999416631,0.04016582341459117,0.041831419013278005,0.016867970324623227,0.09220321737987873,0.04381091222204193,0.0325121132502849,0.0341240566388761,0.01374797647316615,0.06797664562188316,-0.012132257772124386,-0.007707362374401908,-0.32424661589505727,0.32424661589505727,0.061288009878309874,0.33172583578354536
combined_all,mfcc_delta_09_std,Delta MFCC,120,75,1.5364758322671366,0.6667245802984321,1.6278355902320105,0.9131339121185735,2.118990539928836,1.341600078399715,0.6073506593061377,1.24076022751064,0.799137942252619,1.8394162001084768,-0.1948757538674215,-0.38707536272137055,-0.3023175207364626,0.3023175207364626,0.06201402864796249,0.33172583578354536
combined_all,mfcc_delta2_09_std,Delta-Delta MFCC,120,75,0.978627679939306,0.4166737291165175,0.9766507347494502,0.553833001318309,1.3743815139313698,0.8627394463542172,0.3741069986011644,0.7608867192276083,0.5345172991460883,1.1590636004324804,-0.11588823358508882,-0.21576401552184188,-0.28907924541271335,0.28907924541271335,0.058107498030606206,0.33172583578354536
combined_all,mfcc_09_min,MFCC,120,75,-35.404731047580135,20.134184518374674,-41.6805305480957,-50.73373222351074,-17.861670970916748,-29.86697865777895,19.40400984975331,-26.87645721435547,-47.71516418457031,-12.127023220062256,5.5377523898011844,14.804073333740234,0.2788760738936975,0.2788760738936975,0.05985708228011108,0.33172583578354536
combined_all,mfcc_delta2_01_mean,Delta-Delta MFCC,120,75,0.04122203641000031,0.26524547110620256,-0.0143643913762027,-0.07397598247565222,0.08244823681580642,0.07684557779913932,0.2532030683281887,-0.0021568474184236,-0.0312455666608284,0.25156986910428497,0.035623541389139014,0.0122075439577791,0.13664890471165791,0.13664890471165791,0.061650134559297735,0.33172583578354536
combined_all,mfcc_delta2_12_mean,Delta-Delta MFCC,120,75,-0.005867981953477166,0.03724324104057789,-0.0006199884737841999,-0.0037874696122091,0.005143898292032193,-0.02064925285718516,0.050113623157699246,-0.0008456971958069,-0.0294268876262515,0.0013386342436429,-0.014781270903707993,-0.0002257087220227,-0.3466551371409502,0.3466551371409502,0.06613540976682762,0.34529123786259697
combined_all,mfcc_10_median,MFCC,120,75,1.6471807419866697,7.966162599749505,3.0975996255874634,-0.6774187609553337,6.382097482681274,4.004181762116126,5.2308697567893665,4.7212653160095215,-0.366628885269165,7.786417007446289,2.357001020129456,1.623665690422058,0.3346070369174148,0.3346070369174148,0.06927242683616384,0.34529123786259697
combined_all,signal_std,Signal Statistics,120,75,0.133487435876348,0.08373764873434551,0.11957858464059729,0.0540090091526508,0.20776066184043882,0.16320611269786287,0.10735059813664258,0.1550264805555343,0.0625264272093772,0.23704411089420313,0.029718676821514856,0.03544789591493702,0.31785056145656965,0.31785056145656965,0.06967300942034597,0.34529123786259697
combined_all,mfcc_delta2_02_std,Delta-Delta MFCC,120,75,3.2033877241668374,1.7373853749578692,3.106084712449646,1.3033404502918449,4.77159415382787,2.684612647329475,1.495952380531731,2.6314410166885693,1.2908309692199862,4.020987001066407,-0.5187750768373625,-0.4746436957610767,-0.3146000159853087,0.3146000159853087,0.06768896961967345,0.34529123786259697
combined_all,mfcc_delta_05_min,Delta MFCC,120,75,-8.66795967269657,5.630152188747303,-8.037213899195194,-13.525590419769287,-2.8425800800323486,-7.048604283219507,5.3035203407682445,-4.682732582092285,-11.986668586730955,-2.2594655752182007,1.6193553894770636,3.354481317102909,0.29404302948207384,0.29404302948207384,0.06768896961967345,0.34529123786259697
combined_all,mfcc_delta2_03_min,Delta-Delta MFCC,120,75,-8.356826040116895,5.321052587803428,-7.392427649348974,-13.150781154632567,-2.8464182019233704,-6.923514254772641,4.587267486345887,-4.836231634020805,-11.345768928527832,-2.801689624786377,1.4333117853442534,2.556196015328169,0.2836938928983275,0.2836938928983275,0.07211662027371803,0.34918319097878536
combined_all,mfcc_04_std,MFCC,120,75,16.90015165691993,7.233897597523687,18.313239998774655,9.14915033872282,22.580282729536588,15.447707537403481,6.781435952287397,15.047815512575234,10.396371834609441,20.112568570685564,-1.45244411951645,-3.2654244861994215,-0.2056167487598318,0.2056167487598318,0.07253063314099399,0.34918319097878536
combined_all,hnr_db,Perturbation / HNR,120,75,6.138810278791522,7.3818926286350175,6.786174673750374,-0.4870697237659529,12.528640956950722,7.933614763833886,7.1850956054760715,8.762088977021211,1.184597628532988,13.28260226033839,1.7948044850423646,1.9759143032708373,0.24562596604248504,0.24562596604248504,0.07853376412365955,0.37275885224891925
combined_all,mfcc_07_max,MFCC,120,75,38.514608237406236,17.18879799636265,38.093116760253906,28.760741710662842,52.41725158691406,43.25950131972409,12.043808438399012,42.70278930664063,35.791358947753906,50.914154052734375,4.7448930823178515,4.609672546386726,0.3077028773445373,0.3077028773445373,0.0803213352763784,0.3759484720574934
combined_all,mfcc_delta2_05_median,Delta-Delta MFCC,120,75,-0.012707657911435966,0.07718479460856041,-0.023724702070467125,-0.04938293473484608,0.0006699355872114251,-0.006596703801749908,0.061768332052171526,-0.0135069251991808,-0.04407210741192095,0.01884266981505785,0.006110954109686057,0.010217776871286326,0.08526885392264359,0.08526885392264359,0.08306453213516177,0.3834622921856098
combined_all,mfcc_06_std,MFCC,120,75,10.959570715429145,4.530432976824647,11.446671097615763,6.3385425492771335,14.28201222735388,9.752583897548359,4.106482196570189,9.522142264307382,5.976795446955945,13.630972756254405,-1.2069868178807859,-1.924528833308381,-0.2760250859638631,0.2760250859638631,0.08540808486395986,0.38895303512370905
combined_all,mfcc_delta2_05_min,Delta-Delta MFCC,120,75,-5.180645125307556,3.314057894573236,-4.356135509908199,-8.181918740272522,-1.7424414455890656,-4.357338616739265,3.062533234877665,-3.185802698135376,-7.205516338348389,-1.6197319030761719,0.8233065085682902,1.1703328117728233,0.2556898820850548,0.2556898820850548,0.08683968533557035,0.3901996527744961
combined_all,mfcc_delta_01_std,Delta MFCC,120,75,9.992815990751707,4.605028605809978,11.456066591802609,5.223330202782564,13.783603539786169,8.921525999018671,4.156698782592214,9.322898647033984,4.571720223470991,12.601684076496683,-1.0712899917330354,-2.1331679447686245,-0.2413638150708825,0.2413638150708825,0.09075215409712628,0.40241415698330996
combined_all,mfcc_delta2_06_median,Delta-Delta MFCC,120,75,-0.00948908249433138,0.05514912382821632,-0.016571456876893785,-0.0365501847118139,0.014370902783412024,0.016343875006743343,0.08107958515591675,-0.0126663856208324,-0.0276627223938703,0.05170645285397765,0.025832957501074724,0.003905071256061385,0.38963046922169636,0.38963046922169636,0.10557369419037474,0.41856864637830926
combined_all,signal_abs_mean,Signal Statistics,120,75,0.08817246174442271,0.06537625460188237,0.07695306589206055,0.026366968872025574,0.14418979744928387,0.11299783726811073,0.09140757969481343,0.0941185057163238,0.0247417893260717,0.17176391929388046,0.02482537552368802,0.017165439824263246,0.3248854294457921,0.3248854294457921,0.09793909965077018,0.41856864637830926
